,FailureMode,τ/fc,θu,M/Vlw,lw/tw,"ρvwFy,vw/fc","ρhwFy,vw/fc","ρvcFy,vc/fc","ρhcFy,hc/fc",P/fcAg,Section,Ab/Ag,Vtest/Ag/sqrt(fc),V@M/Vn_GB,V@M/Vn_ACI,V@M/Vtest,Vn_GB/Vtest,Vn_ACI/Vtest,Vtest,Vn_ACI,Vn_GB,alpha_c,lamda,N,Vc,Vs,P,fc,ft,alpha1,beta1,lw,as',lw0,tw,h,Aw,A,Ag,"Fy,hw","Fy,vw","Fy,vc",ρvw,ρhw,V@moment,ForceEquilibrium,Moment,x_real,eps_cu,Ec,Es,DRein.1,DRein.2,DRein.3,DRein.4,Area1,Area2,Area3,Area4,Force1,Force2,Force3,Force4,Moment1,Moment2,Moment3,Moment4
0,1,0.09469179641263772,0.01,1.1,10.714285714285714,0.26887891235312805,0.13671128107074568,0.3482313575525812,0.14913957934990438,0.0,R,0.0,0.7855184751928617,0.7953377210896445,0.5893796708992105,0.8683101617856821,1.0917502574831512,1.4732611331179952,260000.0,383047.8946106788,283855.0669456193,0.25,1.5,0.0,66429.19866465137,217425.86828096796,0.0,39.748,3.4815531093211027,0.9954,0.7954,750.0,68.55947435395186,681.4405256460482,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.011,225760.64206427734,0.0,186252529.7030288,137.1189487079037,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-27639.26674279193,1394.1108329764477,28008.040277430795,16773591.496046623,8153583.689123619,-327616.0457494652,-5041447.249937543
1,1,0.12082444918265814,0.01073939393939394,1.1,10.714285714285714,0.262357595449041,0.13339552238805968,0.339785447761194,0.1455223880597015,0.10216773276474768,R,0.0,1.0146830896806172,0.9575867984291125,0.7382649357599702,0.8339570944550938,0.8708945192468934,1.1296176400367952,340000.0,384069.9976125104,296104.1365439438,0.25,1.5,218500.0,86698.60698352766,209405.52956041612,230000.0,40.736000000000004,3.5288868220845058,0.9928,0.7928000000000001,750.0,93.6962433906957,656.3037566093043,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.011,283545.4121147319,0.0,233924964.99465382,187.3924867813914,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-38024.67502339953,-16780.35365808686,2693.6075934497553,16773591.496046623,11217279.131902862,3943383.109650412,-484849.36682095594
2,1,0.15482054890921884,0.010763636363636364,1.1,10.714285714285714,0.34636372207065513,0.17610837438423643,0.4485837438423645,0.1921182266009852,0.20818672296504806,R,0.0,1.1315788550800232,0.9978843646501264,0.7594328180187795,0.8588655471780638,0.8606864458480571,1.1309302505765897,330000.0,373206.9826902746,284026.52712985885,0.25,1.5,323988.0,85237.64170807324,198788.88542178558,355000.0,30.856,3.028910314176856,1.0,0.8,750.0,126.97016622068999,623.02983377931,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.011,283425.6305687611,-1.1350493878126144e-09,233826145.21922788,253.94033244137998,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-45447.75117559698,-29770.736924432407,-15400.140527531536,16773591.496046623,13407086.59680111,6996123.177241616,2772025.2949556764
3,1,0.11989593937337405,0.01358787878787879,1.1,10.714285714285714,0.334022971878114,0.169833729216152,0.43260095011876487,0.18527315914489312,0.0,R,0.0,0.8923571884217233,0.7998267957717656,0.5819372663415635,0.8224894273393546,1.0283344240120407,1.4133644207219425,265000.0,374541.57149131474,272508.62236319075,0.25,1.5,0.0,58130.86103193649,214377.76133125427,0.0,31.996000000000002,3.0899556661967016,1.0,0.8,750.0,78.11263202769341,671.8873679723066,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.011,217959.69824492896,1.4551915228366852e-09,179816751.0520664,156.22526405538682,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-32373.634310626618,-6891.032410734255,16468.019330833744,16773591.496046623,9550222.121634852,1619392.61652255,-2964243.479550074
4,1,0.1407676234466073,0.009757575757575758,1.1,10.714285714285714,0.3247659842048175,0.1651270207852194,0.4206120092378753,0.18013856812933027,0.1017266028813373,R,0.0,1.0625268919246305,0.9243016784323022,0.693824053799922,0.8143590971996671,0.8810533575800625,1.1737256624926755,320000.0,375592.21199765615,281937.07442562,0.25,1.5,175750.00000000003,74656.85461935666,207280.21980626334,185000.0,32.908,3.1380903156471045,1.0,0.8,750.0,100.35723643389251,649.6427635661075,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.011,260594.91110389348,0.0,214990801.66071212,200.71447286778502,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-39904.73578566786,-20070.459992056436,-1889.040514579295,16773591.496046623,11771897.056772018,4716558.098133262,340027.2926242731
5,1,0.13079119462098185,0.007006060606060606,1.1,10.714285714285714,0.2719993639471682,0.1382978723404255,0.35227272727272724,0.1508704061895551,0.21184489269595647,R,0.0,1.0787404946966903,1.0634047540763207,0.8408508068386595,0.9061573727386483,0.852128382222385,1.0776672453291938,355000.0,382571.87209186377,302505.57568894664,0.25,1.5,412566.0,102098.70991514114,200406.86577380553,460000.0,39.292,3.4595283534695707,0.9966,0.7966000000000001,750.0,121.8992085178067,628.1007914821932,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.011,321685.8673222201,0.0,265390840.5408316,243.7984170356134,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-44578.20791777738,-28249.036223248084,-13280.628836596237,16773591.496046623,13150571.335744327,6638523.5124633,2390513.1905873227
6,1,0.09740707877353841,0.013030303030303031,1.1,10.714285714285714,0.29114631710286953,0.049792960662525886,0.40139751552795033,0.16149068322981366,0.0,R,0.0,0.7765283007923331,0.7983515467488521,1.2363913995469402,0.903669987584505,1.131919880739937,0.7308931361991384,247000.0,180530.60464118718,279584.21054276446,0.25,1.5,0.0,63262.1113464555,216322.09919630896,0.0,36.708,3.332483574849296,1.0,0.8,750.0,72.0188280692601,677.98117193074,70.0,825.0,52500.0,52500.0,52500.0,520.0,470.0,470.0,0.024,0.0037,223206.48693337274,-5.820766091346741e-10,184145351.7200325,144.0376561385202,0.0033,30000,200000,20.0,80.0,140.0,195.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-29498.719801152198,-1859.9320191540296,23475.623447677626,16773591.496046623,8702122.3413399,437084.024501197,-4225612.220581973
7,1,0.07023170934026433,0.02498181818181818,2.1153846153846154,10.0,0.34241982959282086,0.12149532710280374,0.4529789719626168,0.13668224299065418,0.0,R,0.0,0.5270457638491451,0.6051010981557052,0.4419882259643765,0.7542483299684145,1.2464831616853729,1.706489643072994,127000.0,216724.18467027022,158303.36153404234,0.17,2.1153846153846154,0.0,29192.75560360997,129110.60593043236,0.0,32.528,3.118108108255515,1.0,0.8,650.0,68.31680466878043,581.6831953312196,65.0,1375.0,42250.0,42250.0,42250.0,520.0,470.0,470.0,0.025,0.008,95789.53790598865,3.0850060284137726e-09,131710614.6207344,136.63360933756087,0.0033,30000,200000,20.0,80.0,140.0,201.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-27501.75990964044,1634.7477909915558,31256.863953300748,14411113.820547098,6737931.177861908,-302428.3413334378,-3875851.1302092928
8,1,0.07016394976261196,0.018545454545454546,2.1153846153846154,10.0,0.2902667984189723,0.10276679841897232,0.38315217391304346,0.11561264822134386,0.10641532380662815,R,0.0,0.5725092279448095,0.7220012420418767,0.5484902936741382,0.8055522151104428,1.1157213702739313,1.4686717785183394,150000.0,220300.76677775092,167358.20554108967,0.17,2.1153846153846154,172900.0,41824.865367805796,125533.34017328388,182000.0,38.456,3.4188486860095613,0.9988,0.7988000000000001,650.0,84.43349284611163,565.5665071538883,65.0,1375.0,42250.0,42250.0,42250.0,520.0,470.0,470.0,0.025,0.008,120832.83226656643,0.0,166145144.36652884,168.86698569222327,0.0033,30000,200000,20.0,80.0,140.0,201.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-34917.20597428619,-11342.282822138504,12625.555715878309,14411113.820547098,8554715.463700116,2098322.3220956232,-1565568.9087689102
9,1,0.08912876630932635,0.015987878787878787,2.1153846153846154,10.0,0.30726987447698745,0.10878661087866108,0.40559623430962344,0.12238493723849371,0.21229976975068704,R,0.0,0.7068463949740311,0.7906009531585139,0.6070900329587238,0.7387977991289999,0.9344762312484495,1.2169493139730578,180000.0,219050.8765151504,168205.7216247209,0.17,2.1153846153846154,306971.6,47907.405853076016,120298.31577164488,343000.0,36.327999999999996,3.313465390992719,1.0,0.8,650.0,108.01889622670664,541.9811037732934,65.0,1375.0,42250.0,42250.0,42250.0,520.0,470.0,470.0,0.025,0.008,132983.60384322,2.6193447411060333e-10,182852455.28442746,216.0377924534133,0.0033,30000,200000,20.0,80.0,140.0,201.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-41780.49985628705,-23353.04711564002,-4618.470162648866,14411113.820547098,10236222.464790327,4320313.716393404,572690.3001684594
10,1,0.0588040721819986,0.021975757575757576,2.1153846153846154,10.0,0.30408902691511386,0.10766045548654245,0.40139751552795033,0.12111801242236024,0.0,R,0.0,0.46878550128085655,0.6051535921251389,0.44595699274172185,0.8148998299207876,1.3466000045692128,1.8273058684668742,120000.0,219276.7042160249,161592.00054830554,0.17,2.1153846153846154,0.0,31449.233055647335,130142.76749265821,0.0,36.708,3.332483574849296,1.0,0.8,650.0,63.666597729645524,586.3334022703544,65.0,1375.0,42250.0,42250.0,42250.0,520.0,470.0,470.0,0.025,0.008,97787.9795904945,0.0,134458471.93692994,127.33319545929105,0.0033,30000,200000,20.0,80.0,140.0,201.0,100.53096491487338,100.53096491487338,100.53096491487338,100.53096491487338,-47249.55350999049,-24664.253375638917,6600.384225494217,38386.09911997957,14411113.820547098,6042742.077031534,-1221071.0817164301,-4759876.290877466
